"label","discount","product-item__aspect-ratio href","product-item__primary-image src","product-item__secondary-image src","loader-button__text","visually-hidden","visually-hidden 2","product-item-meta__title","money","visually-hidden 3","money 2","visually-hidden 4","ait_usp_line","jdgm-prev-badge__text","product-item-meta__ratings-count","product-rating","visually-hidden 5","money 3","product-variant-select","product-variant-select 2","loader-button__text 2","restock-rocket-button"
"","0","https://twobrothersindiashop.com/products/indrayani-rice-1","https://twobrothersindiashop.com/cdn/shop/files/IndrayaniRice1kgIngredients_1200x.jpg?v=1785336948","https://twobrothersindiashop.com/cdn/shop/files/IndrayaniRice1kgFOP_1200x.jpg?v=1785336948","ADD TO CART","+ Add to cart","Sale price","Indrayani Rice","₹180","","₹205","","Un-polished | Native rice variety","4.8 | 20 Reviews","20 Reviews","4.8","Sale price","₹205","1kg","","Add to cart",""
"Summer Special","0","https://twobrothersindiashop.com/products/spicy-amla-pickle-500g","https://twobrothersindiashop.com/cdn/shop/files/AmlaPickle500gIngredients_1200x.jpg?v=1785412354","https://twobrothersindiashop.com/cdn/shop/files/AmlaPickle500gLifestyle_1200x.jpg?v=1785412354","ADD TO CART","+ Add to cart","Sale price","Spicy Amla Pickle 500g","₹572","","₹650","","Heirloom recipe | Fresh Amlas","4.75 | 83 Reviews","83 Reviews","4.8","Sale price","₹650","500g","","Add to cart",""
"","0","https://twobrothersindiashop.com/products/virgin-coconut-oil-cold-pressed-single-filtered","https://twobrothersindiashop.com/cdn/shop/files/VirginCoconutOilIngredients_1200x.jpg?v=1785267952","https://twobrothersindiashop.com/cdn/shop/files/VirginCoconutOil400mlFOP_1200x.jpg?v=1785267952","ADD TO CART","+ Add to cart","Sale price","Virgin Coconut Oil","₹1,008","","₹1,145","","Single-filtered | Cold-pressed","4.96 | 28 Reviews","28 Reviews","5.0","Sale price","₹1,145","400ml","","Add to cart",""
"","0","https://twobrothersindiashop.com/products/shatavari-ghee-a2-cultured-250-gms","https://twobrothersindiashop.com/cdn/shop/files/Shatavari_Ghee_Ingredients_1200x.jpg?v=1785221093","https://twobrothersindiashop.com/cdn/shop/files/Shatavari_Ghee_Listing-01_1200x.jpg?v=1785221092","ADD TO CART","+ Add to cart","Sale price","Shatavari Ghee","₹2,055","","₹2,335","","Shatavari infused | Cultured Gir Cow Ghee","4.92 | 59 Reviews","59 Reviews","4.9","Sale price","₹2,335","250ml","","Add to cart",""
"","0","https://twobrothersindiashop.com/products/amla-gulkand","https://twobrothersindiashop.com/cdn/shop/files/Buy_Amla_Gulkand_Shop_1200x.jpg?v=1754562664","https://twobrothersindiashop.com/cdn/shop/files/Shop_Fresh_Amla_Gulkand_1200x.jpg?v=1754562664","ADD TO CART","+ Add to cart","Sale price","Amla Gulkand","₹392","","₹445","","Natural sweetener | Digestive aid","4.81 | 16 Reviews","16 Reviews","4.8","Sale price","₹445","300g","","Add to cart",""
"","0","https://twobrothersindiashop.com/products/tur-pigeon-pea-dal-unpolished-desi-variety-500g","https://twobrothersindiashop.com/cdn/shop/files/TurDal500gIngredients_1200x.jpg?v=1785394248","https://twobrothersindiashop.com/cdn/shop/files/TurDal500gFOP_1200x.jpg?v=1785394248","ADD TO CART","+ Add to cart","Sale price","Tur (Pigeon Pea) Dal, Unpolished Desi Variety - 500g","₹175","","₹199","","Unpolished | native variant | plant protein","4.6 | 5 Reviews","5 Reviews","4.6","Sale price","₹199","500g","","Add to cart",""
"Rakhi Special","0","https://twobrothersindiashop.com/products/kaju-katli-150g","https://twobrothersindiashop.com/cdn/shop/files/Rakhi-Inside-Products-Listing-kaju-katli_1200x.jpg?v=1786436591","https://twobrothersindiashop.com/cdn/shop/files/Listing_KajuKatli-1_1200x.jpg?v=1785830287","ADD TO CART","+ Add to cart","Sale price","Kaju Katli","₹400","","₹455","","Belgaum Cashews | No Refined Sugar","No reviews","0 Reviews","0.0","Sale price","₹455","150g","","Add to cart",""
"Rakhi Special","0","https://twobrothersindiashop.com/products/khajoor-laddoo-90g-2pc","https://twobrothersindiashop.com/cdn/shop/files/Rakhi-Inside-Products-Listing-khajoor-laddo_1200x.jpg?v=1786621076","https://twobrothersindiashop.com/cdn/shop/files/Listing_Khajoor_Laddoo_-_1_1200x.jpg?v=1785827771","ADD TO CART","+ Add to cart","Sale price","Khajoor Laddoo","₹198","","₹225","","Made with Cultured Ghee | No Refined Sugar","No reviews","0 Reviews","0.0","Sale price","₹225","90g","","Add to cart",""
"","0","https://twobrothersindiashop.com/products/modak-150g","https://twobrothersindiashop.com/cdn/shop/files/modak_1200x.png?v=1787550473","https://twobrothersindiashop.com/cdn/shop/files/Listing_Modak-1_1200x.jpg?v=1786612026","ADD TO CART","+ Add to cart","Sale price","Crispy Fried Modak","₹136","","₹155","","Made with Sunflower Oil | Ganesh Chaturthi Special","No reviews","0 Reviews","0.0","Sale price","₹155","150g","","Add to cart",""
"New Launch","0","https://twobrothersindiashop.com/products/spiced-jaggery-cubes","https://twobrothersindiashop.com/cdn/shop/files/SpicedJaggeryBitesListing-07_1200x.jpg?v=1785319567","https://twobrothersindiashop.com/cdn/shop/files/SpicedJaggeryBitesListing-04_1200x.jpg?v=1785319567","Out of stock","Sale price","Sale price","Spiced Jaggery Cubes","₹216","","₹245","","Slow boiled | Native variety sugarcane","4.9 | 10 Reviews","10 Reviews","4.9","","₹245","500g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/sattu-laddu","https://twobrothersindiashop.com/cdn/shop/files/SattuLaddoIngredients_1200x.jpg?v=1785342517","https://twobrothersindiashop.com/cdn/shop/files/SattuLaddooFOPTBIFDOM_1200x.jpg?v=1785342517","Out of stock","Sale price","Sale price","Sattu Laddoo","₹378","Regular price","₹429","","Jaggery sweetened | Protein rich","4.86 | 545 Reviews","545 Reviews","4.9","","₹429","Pack of 6","Pack of 12","","NOTIFY ME"
"Trending","0","https://twobrothersindiashop.com/products/dink-laadu-gondh-laddu-edible-gum-ladoos-250gms","https://twobrothersindiashop.com/cdn/shop/files/GondhLaddooIngredient_1200x.jpg?v=1785345255","https://twobrothersindiashop.com/cdn/shop/files/GondhLaddooFOPTBIFDOM_1200x.jpg?v=1785345255","Out of stock","Sale price","Sale price","Gondh Laddoo (Edible Gum Laddoo)","₹474","Regular price","₹539","","Fiber rich | Natural sweetener","4.8 | 438 Reviews","438 Reviews","4.8","","₹539","Pack of 6","Pack of 12","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/khajoor-laddoo-250g","https://twobrothersindiashop.com/cdn/shop/files/KhajoorLaddooIngredients_1200x.jpg?v=1785345713","https://twobrothersindiashop.com/cdn/shop/files/KhajoorLaddooFOPTBIFDOM_1200x.jpg?v=1785345713","Out of stock","Sale price","Sale price","Khajoor Laddoo","₹378","Regular price","₹429","","No Preservatives | Zero trans-fat","4.84 | 83 Reviews","83 Reviews","4.8","","₹429","Pack of 6","Pack of 12","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/amorearth-jaggery-peanut-butter","https://twobrothersindiashop.com/cdn/shop/files/Peanut_Butter_Creamy_Ingredients_1200x.jpg?v=1785411262","https://twobrothersindiashop.com/cdn/shop/files/Peanut_Butter_Creamy_Listing-01_-_Copy_1200x.jpg?v=1785411261","Out of stock","Sale price","Sale price","Creamy Peanut Butter","₹387","","₹440","","Sweetened with Jaggery | Stoneground","4.87 | 445 Reviews","445 Reviews","4.9","","₹440","300 g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/single-origin-lakadong-turmeric-powder-150g","https://twobrothersindiashop.com/cdn/shop/files/LakadongTurmeric-Ingredients_1200x.jpg?v=1785330627","https://twobrothersindiashop.com/cdn/shop/files/LakadongTurmeric150gFOPDOMTBIF_1200x.jpg?v=1785330627","Out of stock","Sale price","Sale price","Single Origin Lakadong Turmeric Powder 150g","₹246","","₹279","","7-10% curcumin | hand-harvested","4.88 | 68 Reviews","68 Reviews","4.9","","₹279","150g","","","NOTIFY ME"
"Best Seller","0","https://twobrothersindiashop.com/products/khapli-emmer-long-wheat-grains-stoneground-1kg","https://twobrothersindiashop.com/cdn/shop/files/KhapliWheatGrainsFOP_1200x.jpg?v=1785402798","https://twobrothersindiashop.com/cdn/shop/files/KhapliWheatGrainsBOP_1200x.jpg?v=1785402798","Out of stock","Sale price","Sale price","Khapli Wheat Grains (Emmer Wheat Grain) - 5kg","₹876","","₹995","","Ancient variety | 50% more fiber","4.88 | 154 Reviews","154 Reviews","4.9","","₹995","5kg","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/bajra-atta-1kg","https://twobrothersindiashop.com/cdn/shop/files/Bajra_atta_Ingredient_1200x.jpg?v=1785254912","https://twobrothersindiashop.com/cdn/shop/files/Bajra_Atta_1kg_FOP_DOM_TBIF_1200x.jpg?v=1785254912","Out of stock","Sale price","Sale price","Bajra Atta 1kg","₹149","","₹169","","Stoneground | Traditional Bajra","4.84 | 43 Reviews","43 Reviews","4.8","","₹169","1kg","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/buffalo-ghee-a2-cultured","https://twobrothersindiashop.com/cdn/shop/files/BuffaloGhee1lIngredient_1200x.jpg?v=1785220509","https://twobrothersindiashop.com/cdn/shop/files/BuffaloGhee1lFOP_1200x.jpg?v=1785220509","Out of stock","Sale price","Sale price","Buffalo Ghee","₹1,716","Regular price","₹1,950","","Bilona-made | Slow cooked","4.83 | 115 Reviews","115 Reviews","4.8","","₹995","1000 ml (Glass bottle)","500 ml (Glass bottle)","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/thandai-drink-mix-all-natural","https://twobrothersindiashop.com/cdn/shop/files/Thandai_Drink_Mix_Ingredients_1200x.jpg?v=1766483899","https://twobrothersindiashop.com/cdn/shop/files/Thandai_Drink_Mix_150g_BOP_2_1200x.jpg?v=1766483899","Out of stock","Sale price","Sale price","Thandai Drink Mix","₹576","","₹655","","Ready to mix | No added sugar","4.81 | 96 Reviews","96 Reviews","4.8","","₹655","150g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/organic-liquid-jaggery-kaakvi","https://twobrothersindiashop.com/cdn/shop/files/LiquidJaggeryKakviListing-01_1200x.jpg?v=1785322838","https://twobrothersindiashop.com/cdn/shop/files/LiquidJaggeryKakviListing-02_1200x.jpg?v=1785322838","Out of stock","Sale price","Sale price","Liquid Sugarcane Jaggery ( Kaakvi)","₹342","","₹389","","Wood-fired | No additives","4.89 | 101 Reviews","101 Reviews","4.9","","₹389","390g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/white-rajma-kidney-beans-1-kg","https://twobrothersindiashop.com/cdn/shop/files/Buy_Waghya_Rajma_Online_1200x.jpg?v=1754562841","https://twobrothersindiashop.com/cdn/shop/files/IMG_140_Waghya_Rajma_1200x.jpg?v=1754997811","Out of stock","Sale price","Sale price","Waghya Rajma","₹216","","₹245","","Red kidney beans | High-protein","4.85 | 47 Reviews","47 Reviews","4.9","","₹245","500g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/dhoop-sticks-pack-of-30-sticks","https://twobrothersindiashop.com/cdn/shop/files/Dhoop_Sticks_FOP_1200x.jpg?v=1785393661","https://twobrothersindiashop.com/cdn/shop/files/Dhoop_Sticks_BOP_1200x.jpg?v=1785393660","Out of stock","Sale price","Sale price","Dhoop (Incense) Sticks, Handmade 30 pieces","₹484","","₹550","","Non-perfumed | Natural purifier","4.84 | 171 Reviews","171 Reviews","4.8","","₹550","30 pieces","","","NOTIFY ME"
"Summer Special","0","https://twobrothersindiashop.com/products/instant-shikanji-mix","https://twobrothersindiashop.com/cdn/shop/files/Instant_Shikanji_Mix_1200x.jpg?v=1754562666","https://twobrothersindiashop.com/cdn/shop/files/IMG_37_Instant_Shikanji_Mix_1200x.jpg?v=1754990914","Out of stock","Sale price","Sale price","Instant Shikanji Mix","₹370","","₹420","","Ready to mix | Zero sugar","4.86 | 21 Reviews","21 Reviews","4.9","","₹420","150g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/amorearth-desi-gir-cow-colostrum-powder","https://twobrothersindiashop.com/cdn/shop/files/ColostrumPowderIngredients_1200x.jpg?v=1785341457","https://twobrothersindiashop.com/cdn/shop/files/ColostrumPowderFOP_1200x.jpg?v=1785341457","Out of stock","Sale price","Sale price","Colostrum Powder, Desi Gir Cow","₹1,646","","₹1,870","","Preservative free | Gir Cow","4.84 | 98 Reviews","98 Reviews","4.8","","₹1,870","100g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/mathari","https://twobrothersindiashop.com/cdn/shop/files/MathriSticksFOP_1_1200x.jpg?v=1785396215","https://twobrothersindiashop.com/cdn/shop/files/MathriSticksBOP_1_1200x.jpg?v=1785396215","Out of stock","Sale price","Sale price","Khapli Mathri Sticks","₹304","","₹345","","Khapli | Cold-pressed oil","4.73 | 26 Reviews","26 Reviews","4.7","","₹345","350g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/panjiri-mix","https://twobrothersindiashop.com/cdn/shop/files/PanjiriMix400gFOP_1200x.jpg?v=1785403966","https://twobrothersindiashop.com/cdn/shop/files/Panjirimix400gTexture_1200x.jpg?v=1785403965","Out of stock","Sale price","Sale price","Panjiri Mix","₹1,016","","₹1,155","","Khapli & Gondh | Ghee-rolled","4.84 | 45 Reviews","45 Reviews","4.8","","₹1,155","400g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/brahmi-ghee-a2-cultured-250-gms","https://twobrothersindiashop.com/cdn/shop/files/BrahmiGheeIngredients_1200x.jpg?v=1785233041","https://twobrothersindiashop.com/cdn/shop/files/BrahmiGheeListing-02_1200x.jpg?v=1785233041","Out of stock","Sale price","Sale price","Brahmi Ghee","₹2,055","","₹2,335","","Brahmi infused | Desi Gir Cow Ghee","4.89 | 62 Reviews","62 Reviews","4.9","","₹2,335","250ml","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/ashwagandha-ghee-a2-cultured-250-gms","https://twobrothersindiashop.com/cdn/shop/files/AshwagandhaGheeIngredient_1200x.jpg?v=1785220732","https://twobrothersindiashop.com/cdn/shop/files/AshwagandhaGheeFOP_1200x.jpg?v=1785220732","Out of stock","Sale price","Sale price","Ashwagandha Ghee, Cultured 250g","₹2,055","","₹2,335","","Ashwagandha infused | Gir Cow Ghee","4.84 | 51 Reviews","51 Reviews","4.8","","₹2,335","250ml","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/turmeric-ghee","https://twobrothersindiashop.com/cdn/shop/files/TurmericGheeIngredients_1200x.jpg?v=1785234075","https://twobrothersindiashop.com/cdn/shop/files/TurmericGheeLifestyle_1200x.jpg?v=1785234075","Out of stock","Sale price","Sale price","Turmeric Ghee","₹2,055","","₹2,335","","Haldi infused | Made from Desi Gir Cow Milk","4.97 | 66 Reviews","66 Reviews","5.0","","₹2,335","250ml","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/amorearth-chywanprash-500-gms","https://twobrothersindiashop.com/cdn/shop/files/ChyawanprashIngredient_1200x.jpg?v=1785312706","https://twobrothersindiashop.com/cdn/shop/files/Chyawanprash500gFOP_1200x.jpg?v=1785312706","Out of stock","Sale price","Sale price","Chyawanprash","₹656","","₹745","","Provides Vitamin C | Native Ingredients","4.85 | 239 Reviews","239 Reviews","4.9","","₹745","500g","","","NOTIFY ME"
"Trending","0","https://twobrothersindiashop.com/products/raw-peanuts-waghya-variety-500g","https://twobrothersindiashop.com/cdn/shop/files/CashewNutsFOP_1200x.jpg?v=1785404948","https://twobrothersindiashop.com/cdn/shop/files/CashewNutsBOP_1200x.jpg?v=1785404948","Out of stock","Sale price","Sale price","Raw Peanuts Waghya Variety 500g","₹238","","₹270","","Native Variety | Healthy fats","4.94 | 67 Reviews","67 Reviews","4.9","","₹270","500g","","","NOTIFY ME"
"","0","https://twobrothersindiashop.com/products/moong-dal-500g","https://twobrothersindiashop.com/cdn/shop/files/Moong_Dal_500g_Ingredients_1200x.jpg?v=1770649630","https://twobrothersindiashop.com/cdn/shop/files/Moong_Dal_500g_Lifestyle_1200x.jpg?v=1770649630","Out of stock","Sale price","Sale price","Moong Dal - 500g","₹194","","₹220","","","5 | 4 Reviews","4 Reviews","5.0","","₹220","500g","","","NOTIFY ME"
"Rakhi Special","0","https://twobrothersindiashop.com/products/banana-chips-100g","https://twobrothersindiashop.com/cdn/shop/files/Rakhi-Inside-Products-Listing_1200x.jpg?v=1786621143","https://twobrothersindiashop.com/cdn/shop/files/Listing_BananaChips-1_1200x.jpg?v=1785826387","Out of stock","Sale price","Sale price","Banana Chips","₹145","","₹165","","Raw Jalgaon Bananas | No Palm Oil","No reviews","0 Reviews","0.0","","₹165","100g","","","NOTIFY ME"
"Rakhi Special","0","https://twobrothersindiashop.com/products/mathari-sticks-150g","https://twobrothersindiashop.com/cdn/shop/files/Rakhi-Inside-Products-Listing-mathri_1200x.jpg?v=1786436724","https://twobrothersindiashop.com/cdn/shop/files/Listing_MathriSticks-1_1200x.jpg?v=1785829578","Out of stock","Sale price","Sale price","Mathari sticks-150g","₹136","","₹155","","Fiber-Rich Khapli | Cold-Pressed Oil","No reviews","0 Reviews","0.0","","₹155","150g","","","NOTIFY ME"
